LocationID (QRCode),Latitude,Longitude,Description,Moderator (0/1),Active (0/1),Dosimeter,Collected Flag (0/1),Wear Period,System_Date Deployed,System_Date Collected,Mismatch (0/1), my_Date Deployed, my_Date Collected, recordID
SSRL-036,37.41833496,-122.20085104,BLDG 131 - beam: BL-12 lateral shield wall in storage area under trestle: under yellow PPS box ,1,1,BA001063876,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 8B99F760-7402-495A-8CF2-04C918957FF9
SSRL-036,37.41845703,-122.20082029,BLDG 131 - beam: BL-12 lateral shield wall in storage area under trestle: under yellow PPS box ,1,1,BA00083239X,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, FDED78C7-46D2-4F8A-8606-2647817D599A
SSRL-037,37.41870117,-122.20115792,BLDG 120 - 2nd floor: appx. 15 feet above BL8 ratchet wall. Located on unistrut bracket by transformer across R253: left of Rack 801,1,1,BA00076447V,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 804E87F2-B942-45DF-8653-4AB283A7A4D3
SSRL-037,37.41870117,-122.20104563,BLDG 120 - 2nd floor: appx. 15 feet above BL8 ratchet wall. Located on unistrut bracket by transformer across R253: left of Rack 801,1,1,BA00183645V,1,1-1-2021,01/14/2021,08/09/2021,0,01/14/2021,08/09/2021, F98CCBF5-696E-40AD-A00C-C459C9251808
SSRL-038,37.41870117,-122.20119987,BLDG 120 - wall: BL-8 at ratchet wall,1,1,BA00244937S,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 006F7EB2-EEDE-4300-88EA-435FF7DF28B5
SSRL-038,37.41867065,-122.20101103,BLDG 120 - wall: BL-8 at ratchet wall,1,1,BA00072361B,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 7FEC7BD3-1D0D-4C6C-A222-0C522FA5C41A
SSRL-039,37.41864014,-122.20100348,BLDG 120 - beam: East Pit shield wall behind large blue monitoring panels in BL9-1 multi-station work area ,1,1,BA00097977D,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 56A2512B-BDD4-43A5-94C6-97C34E323A61
SSRL-039,37.41860962,-122.20092837,BLDG 120 - beam: East Pit shield wall behind large blue monitoring panels in BL9-1 multi-station work area ,1,1,BA001844440,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, E92974D7-A0D9-4BDA-B059-1060341677F5
SSRL-040,37.41854858,-122.20092336,BLDG 120 - beam: BL-9 kitchen and break area on shield wall behind sofa,1,1,BA000346760,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 366D007C-8D59-4382-8BF8-196999C92401
SSRL-040,37.41860962,-122.20092992,BLDG 120 - beam: BL-9 kitchen and break area on shield wall behind sofa,1,1,BA002147645,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 1A64DE50-094D-409A-B735-11E68BCAA622
SSRL-042,37.41821289,-122.20069531,SPEAR wall adjacent to BL12-0 hutch,1,1,BA00066960Z,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, 128FE135-098C-4AB9-B80A-D43B16380630
SSRL-042,37.41827393,-122.20070459,SPEAR wall adjacent to BL12-0 hutch,1,1,BA00075836R,1,1-1-2021,01/11/2021,08/06/2021,0,01/11/2021,08/06/2021, 155DF5E3-AC6A-4302-89CB-1E9B31DA4615
SSRL-043,37.41821289,-122.20070679,BL16 lateral shield wall,1,1,BA00124677Z,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, E9DE0015-5051-4755-9C2E-AC7FE82DCBAB
SSRL-043,37.41824341,-122.20068216,BL16 lateral shield wall,1,1,BA00165412A,1,1-1-2021,01/11/2021,08/06/2021,0,01/11/2021,08/06/2021, 2DB46AAC-5ABC-40BC-B0E0-475C2CC60CBA
SSRL-044,37.41815186,-122.20066162,BL16 ratchet shield wall,1,1,BA00121040V,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, 81EEA7E1-A5DC-4C7F-9FBD-257359E24483
SSRL-044,37.41833496,-122.20073819,BL16 ratchet shield wall,1,1,BA00095763S,1,1-1-2021,01/11/2021,08/06/2021,0,01/11/2021,08/06/2021, EDB82129-B0C3-4EE4-BD7B-4D400222F029
SSRL-045,37.41818237,-122.20069153,BLDG 131 - beam: About 10 feet upstream of BL6 ratchet wall,1,1,BA00211823C,0,7-1-2021,08/17/2021,08/17/2021,,08/17/2021,08/17/2021, 9D594C50-BCE4-4895-89A0-3415D1B13E06
SSRL-045,37.41821289,-122.20066841,BLDG 131 - beam: About 10 feet upstream of BL6 ratchet wall,1,1,BA00034678W,1,1-1-2021,01/11/2021,08/17/2021,0,01/11/2021,08/17/2021, CF9DB186-1A48-4CBF-8EF2-1127962D77E7
SSRL-046,37.41815186,-122.20066327,BLDG 131 - beam: BL-5 ratchet shield wall inside PEA,1,1,BA00062666X,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, 1B4F2F2A-2984-4365-A7D7-4A5102F7E626
SSRL-046,37.41821289,-122.20066223,BLDG 131 - beam: BL-5 ratchet shield wall inside PEA,1,1,BA00138055B,1,1-1-2021,02/08/2021,08/06/2021,0,02/08/2021,08/06/2021, 3A14B731-B1DB-47FE-9EDB-8B6889379995
SSRL-047,37.41812134,-122.20065580,BL15 shield wall (next to BSOIC S25),0,1,BA001663527,0,7-1-2021,08/06/2021,08/06/2021,0,08/06/2021,08/06/2021, E9F6310A-B19A-4305-9DB4-C92AE1144538
SSRL-047,37.41821289,-122.20067196,Old BL-4 lateral shield wall (next to BSOIC S25),0,1,BA00107411M,1,1-1-2021,01/11/2021,08/06/2021,0,01/11/2021,08/06/2021, ED622604-A5F0-4F0D-8F4B-7F5F13AB3541
SSRL-048,37.41809082,-122.20069730,BLDG 131 - Beam: BL-3 ratchet shield wall adj. to BSOIC,1,1,BA00063586W,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, C2D4AA50-5BB0-4A11-8FEA-9A6708DD85F4
